Date,Open,High,Low,Close,Adj Close,Volume
2023-08-16,6040.0,6040.0,6000.0,6020.0,5748.1455078125,214780
2023-08-17,6005.0,6030.0,5955.0,6020.0,5748.1455078125,238902
2023-08-18,5980.0,6050.0,5970.0,6015.0,5743.37109375,145200
2023-08-21,6015.0,6070.0,6005.0,6040.0,5767.2421875,94686
2023-08-22,6035.0,6060.0,6020.0,6045.0,5772.0166015625,160724
2023-08-23,6035.0,6095.0,6015.0,6090.0,5814.984375,162702
2023-08-24,6095.0,6115.0,6065.0,6080.0,5805.43603515625,96886
2023-08-25,6055.0,6080.0,6030.0,6040.0,5767.2421875,187629
2023-08-28,6075.0,6115.0,6075.0,6090.0,5814.984375,106801
2023-08-29,6085.0,6150.0,6085.0,6120.0,5843.62939453125,136359
2023-08-30,6150.0,6175.0,6135.0,6145.0,5867.50048828125,166130
2023-08-31,6175.0,6225.0,6155.0,6220.0,5939.11376953125,543564
2023-09-01,6175.0,6255.0,6175.0,6210.0,5929.5654296875,165397
2023-09-04,6190.0,6235.0,6185.0,6230.0,5948.662109375,84132
2023-09-05,6195.0,6240.0,6185.0,6225.0,5943.8876953125,150026
2023-09-06,6195.0,6280.0,6195.0,6250.0,5967.7587890625,218982
2023-09-07,6220.0,6245.0,6190.0,6225.0,5943.8876953125,124714
2023-09-08,6225.0,6240.0,6200.0,6220.0,5939.11376953125,190227
2023-09-11,6230.0,6320.0,6230.0,6295.0,6010.7265625,604132
2023-09-12,6330.0,6350.0,6240.0,6265.0,5982.08154296875,210912
2023-09-13,6260.0,6370.0,6260.0,6345.0,6058.46923828125,300050
2023-09-14,6370.0,6385.0,6335.0,6385.0,6096.66259765625,239805
2023-09-15,6375.0,6595.0,6375.0,6570.0,6273.30810546875,1123958
2023-09-18,6570.0,6590.0,6495.0,6550.0,6254.21142578125,371322
2023-09-19,6550.0,6550.0,6485.0,6505.0,6211.2431640625,290096
2023-09-20,6505.0,6550.0,6495.0,6530.0,6235.1142578125,154582
2023-09-21,6500.0,6550.0,6485.0,6510.0,6216.01806640625,199824
2023-09-22,6500.0,6525.0,6445.0,6520.0,6225.56640625,317225
2023-09-25,6515.0,6525.0,6450.0,6475.0,6182.5986328125,280647
2023-09-26,6490.0,6490.0,6330.0,6335.0,6048.92041015625,167067
2023-09-27,6315.0,6375.0,6295.0,6355.0,6068.01708984375,360378
2023-10-04,6280.0,6300.0,6215.0,6230.0,5948.662109375,205081
2023-10-05,6230.0,6245.0,6140.0,6195.0,5915.24267578125,230540
2023-10-06,6210.0,6390.0,6190.0,6380.0,6091.888671875,282724
2023-10-10,6455.0,6485.0,6400.0,6435.0,6144.404296875,335227
2023-10-11,6435.0,6475.0,6360.0,6415.0,6125.30810546875,222294
2023-10-12,6425.0,6465.0,6380.0,6465.0,6173.0498046875,212721
2023-10-13,6410.0,6515.0,6400.0,6455.0,6163.50146484375,216296
2023-10-16,6450.0,6515.0,6425.0,6470.0,6177.82373046875,227896
2023-10-17,6500.0,6510.0,6435.0,6435.0,6144.404296875,212250
2023-10-18,6450.0,6565.0,6445.0,6545.0,6249.4375,401428
2023-10-19,6505.0,6520.0,6465.0,6480.0,6187.37255859375,288022
2023-10-20,6455.0,6460.0,6375.0,6420.0,6130.08203125,276732
2023-10-23,6400.0,6400.0,6255.0,6290.0,6005.95263671875,210563
2023-10-24,6300.0,6310.0,6200.0,6280.0,5996.404296875,270897
2023-10-25,6285.0,6320.0,6215.0,6265.0,5982.08154296875,375411
