Date,Open,High,Low,Close,Adj Close,Volume
2023-08-16,6785.0,6830.0,6600.0,6665.0,6536.49365234375,25614
2023-08-17,6600.0,6610.0,6525.0,6600.0,6472.74658203125,19852
2023-08-18,6550.0,6660.0,6550.0,6605.0,6477.650390625,7968
2023-08-21,6630.0,6630.0,6555.0,6595.0,6467.84326171875,5386
2023-08-22,6560.0,6620.0,6525.0,6525.0,6399.19287109375,7239
2023-08-23,6535.0,6615.0,6520.0,6575.0,6448.22900390625,10071
2023-08-24,6550.0,6580.0,6515.0,6580.0,6453.13232421875,5085
2023-08-25,6570.0,6700.0,6570.0,6685.0,6556.10791015625,19915
2023-08-28,6735.0,6800.0,6725.0,6740.0,6610.04736328125,7539
2023-08-29,6750.0,6755.0,6705.0,6715.0,6585.529296875,10007
2023-08-30,6775.0,6800.0,6730.0,6755.0,6624.75830078125,19476
2023-08-31,6755.0,6765.0,6735.0,6760.0,6629.66162109375,5163
2023-09-01,6760.0,6795.0,6750.0,6750.0,6619.8544921875,30016
2023-09-04,6750.0,6750.0,6660.0,6745.0,6614.951171875,7252
2023-09-05,6750.0,6765.0,6710.0,6715.0,6585.529296875,9838
2023-09-06,6730.0,6735.0,6670.0,6670.0,6541.39697265625,3823
2023-09-07,6690.0,6690.0,6625.0,6640.0,6511.9755859375,7047
2023-09-08,6650.0,6690.0,6645.0,6690.0,6561.01171875,2008
2023-09-11,6705.0,6705.0,6635.0,6650.0,6521.78271484375,5396
2023-09-12,6670.0,6770.0,6635.0,6635.0,6507.07177734375,3400
2023-09-13,6640.0,6640.0,6605.0,6605.0,6477.650390625,4636
2023-09-14,6610.0,6685.0,6610.0,6635.0,6507.07177734375,4422
2023-09-15,6635.0,6740.0,6635.0,6735.0,6605.14404296875,6844
2023-09-18,6670.0,6735.0,6670.0,6730.0,6600.240234375,5019
2023-09-19,6730.0,6735.0,6685.0,6700.0,6570.81884765625,3818
2023-09-20,6670.0,6675.0,6630.0,6650.0,6521.78271484375,2171
2023-09-21,6620.0,6620.0,6525.0,6530.0,6404.09619140625,2716
2023-09-22,6500.0,6500.0,6420.0,6475.0,6350.15673828125,4577
2023-09-25,6525.0,6580.0,6500.0,6560.0,6433.51806640625,36596
2023-09-26,6530.0,6530.0,6490.0,6515.0,6389.3857421875,7141
2023-09-27,6505.0,6595.0,6450.0,6585.0,6458.0361328125,97406
2023-10-04,6535.0,6535.0,6420.0,6445.0,6320.7353515625,40577
2023-10-05,6470.0,6470.0,6385.0,6435.0,6310.92822265625,736
2023-10-06,6440.0,6455.0,6390.0,6410.0,6286.41015625,9956
2023-10-10,6430.0,6485.0,6360.0,6385.0,6261.89208984375,19571
2023-10-11,6420.0,6455.0,6375.0,6395.0,6271.69921875,12026
2023-10-12,6445.0,6445.0,6365.0,6400.0,6276.60302734375,1872
2023-10-13,6355.0,6435.0,6355.0,6395.0,6271.69921875,1748
2023-10-16,6340.0,6415.0,6340.0,6410.0,6286.41015625,4371
2023-10-17,6425.0,6455.0,6405.0,6415.0,6291.31396484375,6381
2023-10-18,6410.0,6410.0,6335.0,6370.0,6247.18115234375,3556
2023-10-19,6335.0,6335.0,6270.0,6290.0,6168.7236328125,6162
2023-10-20,6225.0,6265.0,6175.0,6220.0,6100.0732421875,3648
2023-10-23,6220.0,6310.0,6220.0,6280.0,6158.91650390625,4405
2023-10-24,6345.0,6345.0,6200.0,6305.0,6183.4345703125,10427
2023-10-25,6370.0,6520.0,6370.0,6460.0,6335.4462890625,1222817
2023-10-26,6460.0,6460.0,6375.0,6405.0,6281.50634765625,11558
2023-10-27,6395.0,6395.0,6255.0,6280.0,6158.91650390625,3784
2023-10-30,6285.0,6285.0,6220.0,6260.0,6139.30224609375,1884
