Date,Open,High,Low,Close,Adj Close,Volume
2023-08-16,18290.0,18400.0,18130.0,18165.0,17675.17578125,169385
2023-08-17,18030.0,18215.0,17870.0,18215.0,17723.828125,228072
2023-08-18,17870.0,18320.0,17870.0,18305.0,17811.400390625,149771
2023-08-21,18285.0,18330.0,18150.0,18175.0,17684.90625,272740
2023-08-22,18245.0,18415.0,18220.0,18280.0,17787.07421875,211583
2023-08-23,18135.0,18345.0,18095.0,18290.0,17796.8046875,82123
2023-08-24,18305.0,18320.0,18055.0,18120.0,17631.388671875,254824
2023-08-25,17910.0,18075.0,17910.0,18060.0,17573.0078125,143761
2023-08-28,18095.0,18160.0,17940.0,18090.0,17602.19921875,107781
2023-08-29,18145.0,18465.0,18135.0,18455.0,17957.35546875,182775
2023-08-30,18565.0,18625.0,18485.0,18540.0,18040.064453125,195907
2023-08-31,18440.0,18500.0,18315.0,18500.0,18001.142578125,250371
2023-09-01,18500.0,18660.0,18445.0,18480.0,17981.681640625,119266
2023-09-04,18310.0,18480.0,18290.0,18445.0,17947.625,114394
2023-09-05,18400.0,18465.0,18300.0,18465.0,17967.0859375,100029
2023-09-06,18380.0,18560.0,18310.0,18380.0,17884.37890625,120593
2023-09-07,18180.0,18315.0,18175.0,18225.0,17733.55859375,106378
2023-09-08,18180.0,18270.0,18115.0,18220.0,17728.693359375,62830
2023-09-11,18145.0,18235.0,18055.0,18060.0,17573.0078125,178102
2023-09-12,18160.0,18350.0,18095.0,18115.0,17626.5234375,109918
2023-09-13,18080.0,18395.0,18075.0,18275.0,17782.208984375,148935
2023-09-14,18340.0,18440.0,18220.0,18320.0,17825.99609375,228068
2023-09-15,18340.0,18640.0,18305.0,18640.0,18137.3671875,227684
2023-09-18,18435.0,18555.0,18355.0,18370.0,17874.6484375,111617
2023-09-19,18275.0,18500.0,18275.0,18335.0,17840.591796875,206103
2023-09-20,18320.0,18810.0,18320.0,18745.0,18239.537109375,274259
2023-09-21,18620.0,18750.0,18400.0,18425.0,17928.166015625,231865
2023-09-22,18150.0,18510.0,18150.0,18440.0,17942.759765625,407393
2023-09-25,18370.0,18710.0,18340.0,18700.0,18195.75,224817
2023-09-26,18540.0,18675.0,18410.0,18435.0,17937.89453125,157089
2023-09-27,18245.0,18655.0,18245.0,18640.0,18137.3671875,211652
2023-10-04,18250.0,18375.0,18055.0,18245.0,17753.01953125,228308
2023-10-05,18275.0,18360.0,18145.0,18210.0,17718.962890625,113191
2023-10-06,18190.0,18455.0,18145.0,18450.0,17952.490234375,117154
2023-10-10,18540.0,18685.0,17980.0,18140.0,17650.849609375,323999
2023-10-11,18110.0,18395.0,18110.0,18260.0,17767.615234375,97078
2023-10-12,18220.0,18300.0,18140.0,18300.0,17806.53515625,122146
2023-10-13,18185.0,18185.0,17915.0,17945.0,17461.109375,181322
2023-10-16,17895.0,17985.0,17655.0,17745.0,17266.501953125,275101
2023-10-17,17830.0,17850.0,17525.0,17525.0,17052.43359375,162115
2023-10-18,17620.0,17835.0,17620.0,17810.0,17329.748046875,170615
2023-10-19,17610.0,17750.0,17545.0,17610.0,17135.142578125,201009
2023-10-20,17465.0,17495.0,17160.0,17195.0,16731.33203125,144534
2023-10-23,17125.0,17445.0,17125.0,17350.0,16882.15234375,112955
2023-10-24,17380.0,17420.0,16965.0,17275.0,16809.17578125,97522
2023-10-25,17320.0,17425.0,17180.0,17275.0,16809.17578125,87016
2023-10-26,17080.0,17170.0,16910.0,16970.0,16512.400390625,1144251
2023-10-27,17090.0,17330.0,16915.0,16970.0,16512.400390625,127633
2023-10-30,16830.0,16980.0,16495.0,16660.0,16210.7587890625,420541
2023-10-31,16780.0,16865.0,16370.0,16370.0,15928.5791015625,227217
2023-11-01,16445.0,16590.0,16390.0,16475.0,16030.7470703125,144581
2023-11-02,16835.0,17075.0,16800.0,16880.0,16424.826171875,186148
2023-11-03,17030.0,17115.0,16750.0,16895.0,16439.421875,168650
2023-11-06,17135.0,17530.0,17050.0,17530.0,17057.298828125,264528
2023-11-07,17335.0,17435.0,17060.0,17205.0,16741.0625,262371
2023-11-08,17305.0,17450.0,17115.0,17180.0,16716.736328125,127014
2023-11-09,17190.0,17305.0,17130.0,17195.0,16731.33203125,95147
2023-11-10,17025.0,17090.0,16925.0,16980.0,16522.12890625,67071
2023-11-13,16980.0,17245.0,16885.0,16885.0,16429.69140625,104834
2023-11-14,17050.0,17275.0,17030.0,17225.0,16760.5234375,128711
2023-11-15,17525.0,17810.0,17525.0,17765.0,17285.962890625,200305
2023-11-16,17765.0,18075.0,17750.0,18040.0,17553.546875,184777
2023-11-17,18030.0,18070.0,17850.0,18060.0,17573.0078125,110472
2023-11-20,18030.0,18030.0,17780.0,17930.0,17446.513671875,155354
2023-11-21,18145.0,18145.0,17900.0,18100.0,17611.9296875,147904
2023-11-22,17960.0,18055.0,17830.0,17990.0,17504.89453125,111465
2023-11-23,18000.0,18170.0,17915.0,18155.0,17665.4453125,131882
2023-11-24,18090.0,18240.0,18070.0,18150.0,17660.580078125,117667
2023-11-27,18180.0,18295.0,18125.0,18240.0,17748.154296875,84930
2023-11-28,18295.0,18330.0,18135.0,18300.0,17806.53515625,107073
2023-11-29,18310.0,18315.0,18075.0,18210.0,17718.962890625,162628
2023-11-30,18100.0,18290.0,17995.0,18260.0,17767.615234375,127625
2023-12-01,18100.0,18105.0,17955.0,18005.0,17519.490234375,300031
2023-12-04,18035.0,18160.0,17940.0,17950.0,17465.97265625,115435
2023-12-05,17940.0,18050.0,17835.0,17885.0,17402.7265625,200505
2023-12-06,17885.0,17985.0,17760.0,17875.0,17392.99609375,78899
2023-12-07,17745.0,17945.0,17650.0,17875.0,17392.99609375,210498
2023-12-08,17900.0,18135.0,17900.0,18110.0,17621.658203125,187408
2023-12-11,18050.0,18185.0,18015.0,18180.0,17689.771484375,74468
2023-12-12,18110.0,18310.0,18110.0,18235.0,17743.2890625,108327
2023-12-13,18160.0,18265.0,18125.0,18165.0,17675.17578125,125759
2023-12-14,18280.0,18310.0,17850.0,18115.0,17626.5234375,302950
2023-12-15,18225.0,18495.0,18105.0,18345.0,17850.322265625,397303
2023-12-18,18420.0,18465.0,18235.0,18450.0,17952.490234375,244789
