Date,Open,High,Low,Close,Adj Close,Volume
2024-02-14,108705.0,108715.0,108700.0,108710.0,108710.0,37681
2024-02-15,108715.0,108735.0,108715.0,108730.0,108730.0,10492
2024-02-16,108730.0,108745.0,108725.0,108740.0,108740.0,8323
2024-02-19,108620.0,108750.0,108620.0,108735.0,108735.0,19452
2024-02-20,108730.0,108755.0,108730.0,108740.0,108740.0,4036
2024-02-21,108735.0,108760.0,108735.0,108745.0,108745.0,3982
2024-02-22,108775.0,108795.0,108770.0,108795.0,108795.0,6111
2024-02-23,108790.0,108800.0,108785.0,108790.0,108790.0,12657
2024-02-26,108810.0,108815.0,108795.0,108810.0,108810.0,7607
2024-02-27,108410.0,108865.0,108410.0,108815.0,108815.0,7012
2024-02-28,108810.0,108850.0,108810.0,108835.0,108835.0,9082
2024-02-29,108850.0,108860.0,108850.0,108860.0,108860.0,61352
2024-03-04,108860.0,108880.0,108860.0,108870.0,108870.0,13925
2024-03-05,108890.0,108890.0,108880.0,108880.0,108880.0,9350
2024-03-06,108890.0,108910.0,108890.0,108900.0,108900.0,18233
2024-03-07,108900.0,108930.0,108900.0,108925.0,108925.0,11396
2024-03-08,108915.0,108965.0,108895.0,108955.0,108955.0,83015
2024-03-11,108955.0,108980.0,108940.0,108960.0,108960.0,49099
2024-03-12,108975.0,108985.0,108975.0,108980.0,108980.0,9147
2024-03-13,108975.0,108990.0,108975.0,108985.0,108985.0,11740
2024-03-14,108990.0,109020.0,108990.0,109005.0,109005.0,5866
2024-03-15,108995.0,109030.0,108995.0,109030.0,109030.0,13628
2024-03-18,109025.0,109040.0,109025.0,109035.0,109035.0,7292
2024-03-19,109040.0,109050.0,109035.0,109040.0,109040.0,11029
2024-03-20,109030.0,109065.0,109030.0,109045.0,109045.0,29233
2024-03-21,109075.0,109105.0,109075.0,109080.0,109080.0,10863
2024-03-22,109095.0,109110.0,109095.0,109110.0,109110.0,7821
2024-03-25,109110.0,109120.0,109105.0,109120.0,109120.0,25110
2024-03-26,109110.0,109130.0,109110.0,109120.0,109120.0,7722
2024-03-27,109125.0,109140.0,109125.0,109135.0,109135.0,26700
2024-03-28,109150.0,109155.0,109140.0,109150.0,109150.0,7920
2024-03-29,109160.0,109160.0,109150.0,109150.0,109150.0,15645
2024-04-01,109155.0,109180.0,109155.0,109180.0,109180.0,6109
2024-04-02,109170.0,109185.0,109170.0,109185.0,109185.0,17745
2024-04-03,109180.0,109195.0,109180.0,109195.0,109195.0,19904
2024-04-04,109210.0,109220.0,109205.0,109210.0,109210.0,17728
2024-04-05,109225.0,109235.0,109225.0,109230.0,109230.0,31356
2024-04-08,109230.0,109255.0,109230.0,109240.0,109240.0,12230
2024-04-09,109230.0,109255.0,109230.0,109250.0,109250.0,59050
2024-04-11,109250.0,109280.0,109250.0,109260.0,109260.0,30846
2024-04-12,109245.0,109295.0,109245.0,109285.0,109285.0,22004
2024-04-15,109280.0,109305.0,109280.0,109295.0,109295.0,9082
2024-04-16,109295.0,109305.0,109290.0,109300.0,109300.0,18080
2024-04-17,109290.0,109315.0,109290.0,109305.0,109305.0,7523
2024-04-18,109300.0,109345.0,109300.0,109335.0,109335.0,35257
2024-04-19,109320.0,109350.0,109320.0,109345.0,109345.0,25528
2024-04-22,109335.0,109350.0,109335.0,109340.0,109340.0,43891
2024-04-23,109330.0,109360.0,109330.0,109350.0,109350.0,12691
2024-04-24,109355.0,109370.0,109355.0,109360.0,109360.0,10290
2024-04-25,109360.0,109395.0,109360.0,109380.0,109380.0,40630
2024-04-26,109370.0,109405.0,109370.0,109390.0,109390.0,13943
2024-04-29,109425.0,109425.0,109405.0,109415.0,109415.0,11789
2024-04-30,109405.0,109435.0,109405.0,109425.0,109425.0,37590
2024-05-02,109465.0,109470.0,109450.0,109460.0,109460.0,30009
2024-05-03,109470.0,109480.0,109470.0,109475.0,109475.0,6463
2024-05-07,109475.0,109505.0,109475.0,109500.0,109500.0,12809
2024-05-08,109500.0,109515.0,109500.0,109500.0,109500.0,8365
2024-05-09,109525.0,109540.0,109525.0,109540.0,109540.0,47154
2024-05-10,109515.0,109550.0,109515.0,109545.0,109545.0,8721
2024-05-13,109550.0,109570.0,109550.0,109555.0,109555.0,31046
