Date,Open,High,Low,Close,Adj Close,Volume
2023-08-16,3710.0,3710.0,3605.0,3615.0,3576.54248046875,48600
2023-08-17,3595.0,3645.0,3555.0,3645.0,3606.223388671875,38397
2023-08-18,3585.0,3625.0,3580.0,3610.0,3571.595703125,119691
2023-08-21,3620.0,3645.0,3580.0,3605.0,3566.64892578125,41945
2023-08-22,3620.0,3640.0,3595.0,3640.0,3601.276611328125,70806
2023-08-23,3645.0,3650.0,3605.0,3625.0,3586.436279296875,32298
2023-08-24,3610.0,3735.0,3600.0,3730.0,3690.319091796875,147411
2023-08-25,3710.0,3710.0,3630.0,3645.0,3606.223388671875,83965
2023-08-28,3705.0,3760.0,3665.0,3755.0,3715.05322265625,85487
2023-08-29,3765.0,3815.0,3740.0,3755.0,3715.05322265625,76482
2023-08-30,3750.0,3795.0,3735.0,3735.0,3695.265869140625,40160
2023-08-31,3715.0,3740.0,3675.0,3700.0,3660.63818359375,50650
2023-09-01,3675.0,3720.0,3635.0,3645.0,3606.223388671875,50543
2023-09-04,3640.0,3695.0,3615.0,3695.0,3655.69140625,37909
2023-09-05,3695.0,3700.0,3655.0,3695.0,3655.69140625,51786
2023-09-06,3690.0,3710.0,3620.0,3645.0,3606.223388671875,25690
2023-09-07,3610.0,3620.0,3540.0,3560.0,3522.127685546875,44982
2023-09-08,3565.0,3595.0,3550.0,3595.0,3556.75537109375,31988
2023-09-11,3580.0,3605.0,3570.0,3585.0,3546.86181640625,39437
2023-09-12,3600.0,3600.0,3505.0,3515.0,3477.6064453125,43413
2023-09-13,3500.0,3520.0,3470.0,3490.0,3452.872314453125,38981
2023-09-14,3510.0,3560.0,3500.0,3545.0,3507.287353515625,56619
2023-09-15,3570.0,3600.0,3550.0,3595.0,3556.75537109375,153974
2023-09-18,3565.0,3595.0,3565.0,3565.0,3527.074462890625,39446
2023-09-19,3595.0,3600.0,3555.0,3595.0,3556.75537109375,46623
2023-09-20,3590.0,3590.0,3540.0,3555.0,3517.180908203125,57783
2023-09-21,3530.0,3550.0,3485.0,3500.0,3462.765869140625,18266
2023-09-22,3480.0,3480.0,3420.0,3440.0,3403.404296875,41436
2023-09-25,3430.0,3430.0,3380.0,3400.0,3363.829833984375,29353
2023-09-26,3400.0,3405.0,3315.0,3340.0,3304.468017578125,54547
2023-09-27,3310.0,3400.0,3310.0,3400.0,3363.829833984375,57834
2023-10-04,3390.0,3390.0,3285.0,3300.0,3264.8935546875,120213
2023-10-05,3285.0,3320.0,3275.0,3280.0,3245.1064453125,22014
2023-10-06,3260.0,3305.0,3260.0,3300.0,3264.8935546875,9691
2023-10-10,3325.0,3335.0,3225.0,3240.0,3205.531982421875,69989
2023-10-11,3240.0,3290.0,3240.0,3280.0,3245.1064453125,66849
2023-10-12,3280.0,3355.0,3280.0,3355.0,3319.30859375,46893
2023-10-13,3310.0,3325.0,3285.0,3300.0,3264.8935546875,30138
2023-10-16,3275.0,3305.0,3250.0,3295.0,3259.94677734375,12713
2023-10-17,3300.0,3350.0,3300.0,3325.0,3289.627685546875,20303
2023-10-18,3305.0,3350.0,3305.0,3340.0,3304.468017578125,90663
2023-10-19,3275.0,3285.0,3240.0,3275.0,3240.15966796875,25765
2023-10-20,3275.0,3280.0,3205.0,3265.0,3230.265869140625,22668
2023-10-23,3215.0,3250.0,3170.0,3185.0,3151.116943359375,37959
2023-10-24,3180.0,3240.0,3150.0,3240.0,3205.531982421875,110352
2023-10-25,3265.0,3265.0,3210.0,3235.0,3200.585205078125,29250
2023-10-26,3200.0,3205.0,3140.0,3145.0,3111.54248046875,19087
2023-10-27,3145.0,3190.0,3130.0,3130.0,3096.7021484375,21394
2023-10-30,3125.0,3125.0,3065.0,3075.0,3042.287353515625,53665
2023-10-31,3105.0,3105.0,3045.0,3055.0,3022.5,31694
2023-11-01,3075.0,3095.0,3060.0,3090.0,3057.127685546875,41297
2023-11-02,3100.0,3140.0,3100.0,3135.0,3101.64892578125,58904
2023-11-03,3200.0,3200.0,3120.0,3165.0,3131.329833984375,43905
2023-11-06,3220.0,3270.0,3180.0,3270.0,3235.212890625,102272
2023-11-07,3275.0,3275.0,3210.0,3255.0,3220.372314453125,158543
2023-11-08,3280.0,3280.0,3215.0,3220.0,3185.74462890625,165810
2023-11-09,3190.0,3255.0,3190.0,3240.0,3205.531982421875,106871
2023-11-10,3180.0,3220.0,3180.0,3200.0,3165.95751953125,30055
2023-11-13,3200.0,3245.0,3175.0,3185.0,3151.116943359375,72910
2023-11-14,3230.0,3245.0,3210.0,3245.0,3210.478759765625,94159
2023-11-15,3310.0,3325.0,3280.0,3325.0,3289.627685546875,86977
2023-11-16,3325.0,3340.0,3275.0,3325.0,3289.627685546875,96556
2023-11-17,3325.0,3340.0,3295.0,3340.0,3304.468017578125,77487
2023-11-20,3355.0,3380.0,3325.0,3355.0,3319.30859375,65139
2023-11-21,3390.0,3395.0,3350.0,3380.0,3344.04248046875,78055
2023-11-22,3340.0,3400.0,3340.0,3400.0,3363.829833984375,59256
2023-11-23,3400.0,3420.0,3375.0,3380.0,3344.04248046875,38377
2023-11-24,3380.0,3405.0,3380.0,3400.0,3363.829833984375,37560
2023-11-27,3415.0,3415.0,3370.0,3410.0,3373.723388671875,64440
2023-11-28,3410.0,3420.0,3395.0,3420.0,3383.616943359375,23785
2023-11-29,3410.0,3410.0,3330.0,3345.0,3309.414794921875,113098
2023-11-30,3370.0,3370.0,3330.0,3370.0,3334.14892578125,25028
2023-12-01,3395.0,3395.0,3355.0,3355.0,3319.30859375,51624
2023-12-04,3400.0,3400.0,3345.0,3365.0,3329.2021484375,57038
2023-12-05,3365.0,3365.0,3325.0,3340.0,3304.468017578125,24561
2023-12-06,3355.0,3400.0,3345.0,3390.0,3353.936279296875,102141
2023-12-07,3390.0,3390.0,3335.0,3360.0,3324.25537109375,38444
2023-12-08,3390.0,3390.0,3350.0,3360.0,3324.25537109375,21621
2023-12-11,3400.0,3400.0,3320.0,3340.0,3304.468017578125,82109
2023-12-12,3340.0,3380.0,3340.0,3355.0,3319.30859375,103818
2023-12-13,3340.0,3360.0,3300.0,3300.0,3264.8935546875,152831
2023-12-14,3320.0,3380.0,3320.0,3350.0,3314.36181640625,80337
2023-12-15,3350.0,3385.0,3350.0,3370.0,3334.14892578125,94940
2023-12-18,3370.0,3370.0,3315.0,3335.0,3299.521240234375,76665
2023-12-19,3350.0,3350.0,3290.0,3320.0,3284.680908203125,29084
2023-12-20,3320.0,3360.0,3320.0,3355.0,3319.30859375,93281
2023-12-21,3340.0,3345.0,3310.0,3330.0,3294.574462890625,66828
2023-12-22,3330.0,3350.0,3330.0,3345.0,3309.414794921875,38675
2023-12-26,3360.0,3360.0,3320.0,3335.0,3299.521240234375,60888
2023-12-27,3310.0,3370.0,3310.0,3335.0,3299.521240234375,75374
2023-12-28,3330.0,3375.0,3320.0,3375.0,3339.095703125,244642
2024-01-02,3335.0,3350.0,3300.0,3315.0,3279.734130859375,125903
2024-01-03,3295.0,3295.0,3245.0,3265.0,3230.265869140625,73138
2024-01-04,3265.0,3265.0,3230.0,3235.0,3200.585205078125,70049
2024-01-05,3225.0,3250.0,3210.0,3215.0,3180.7978515625,60719
2024-01-08,3210.0,3255.0,3200.0,3225.0,3190.69140625,73919
2024-01-09,3240.0,3270.0,3240.0,3260.0,3225.319091796875,39919
2024-01-10,3270.0,3310.0,3255.0,3295.0,3259.94677734375,92974
2024-01-11,3330.0,3330.0,3270.0,3285.0,3250.05322265625,96262
